timestamp,Unnamed: 0,timestamp.1,id,activity,phone,watch,label_walking,label_jogging,label_dribbling,label_playing_catch,label_kicking,label_stairs,label_sitting,label_drinking_from_cup,label_eating_soup,label_standing,label_clapping,label_eating_chips,label_brushing_teeth,label_eating_pasta,label_eating_sandwich,label_writing,label_typing,label_folding,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,cluster
1970-01-02 22:20:33.750,0,1970-01-02 22:20:33.750,1621,walking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6070655411635206,4.193482669819095,5.218887153710762,-0.5526381635450557,-2.0806003333368173,0.3590259394686645,0
1970-01-02 22:20:34.000,1,1970-01-02 22:20:34.000,1621,walking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2639132650270781,4.28299835053537,6.014734104231263,-0.7298316780070799,-3.0023097138286983,0.5992535902979164,0
1970-01-02 22:20:34.250,2,1970-01-02 22:20:34.250,1621,walking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6153915779328605,3.7141067948176096,4.96899137585351,-0.20471605102230195,-2.7404213571105207,0.4842442295114151,0
1970-01-02 22:20:34.500,3,1970-01-02 22:20:34.500,1621,walking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.316343804105407,3.3510195704454366,3.2203068895417566,0.004411831723555221,-1.4189804657937155,0.1950385832402189,2
1970-01-02 22:20:34.750,4,1970-01-02 22:20:34.750,1621,walking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.149463644217725,3.131000745758131,2.0293940889838487,0.019702717968072568,-0.7081702805172605,0.025548402783936275,2
1970-01-02 22:20:35.000,5,1970-01-02 22:20:35.000,1621,walking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.129630140387258,3.091116152295008,0.6699196014859146,0.2058727450943577,-0.4301314625616987,-0.0229858624415767,2
1970-01-02 22:20:35.250,6,1970-01-02 22:20:35.250,1621,walking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.427370629828694,3.321651959298951,2.3575076556420385,-0.501680639977392,2.6535676852029546,-1.0152053428988053,2
1970-01-02 22:20:35.500,7,1970-01-02 22:20:35.500,1621,walking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6072921497787087,3.994673059005255,5.536907723393169,-0.4730722006870869,1.7815673017045908,-0.5347754030952208,0
1970-01-02 22:20:35.750,8,1970-01-02 22:20:35.750,1621,walking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2866391105190531,3.9187518334324993,7.270076615087497,-0.2838058643228407,1.0784066179795286,-0.4917484557342836,0
1970-01-02 22:20:36.000,9,1970-01-02 22:20:36.000,1621,walking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11108131818994801,3.4112114104293245,6.380155437258789,-0.6765885978640949,-0.3507999226398939,0.7424073666450802,0
1970-01-02 22:20:36.250,10,1970-01-02 22:20:36.250,1621,walking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.678802368657314,2.48648346686898,8.508979927626164,-1.0550696512962874,-0.14073538195418506,-0.02877406054611664,0
1970-01-02 22:20:36.500,11,1970-01-02 22:20:36.500,1621,walking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0340692326352814,0.09062354819415086,10.133449151937864,-0.16249296955460313,-0.4897363248403938,-0.5657112566114231,2
1970-01-02 22:20:36.750,12,1970-01-02 22:20:36.750,1621,walking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5188682032923926,1.1563284281328359,8.622894866204787,0.6361952160000179,-1.0219071732397778,-1.2662341356630975,2
1970-01-02 22:20:37.000,13,1970-01-02 22:20:37.000,1621,walking,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01593018950662,2.9779067193635065,7.619450429270575,0.6809827303263438,-0.09385076411934212,-1.2074923384623832,0
