timestamp,timestamp,id,activity,phone,watch,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),label_walking,label_jogging,label_dribbling,label_playing_catch,label_kicking,label_stairs,label_sitting,label_drinking_from_cup,label_eating_soup,label_standing,label_clapping,label_eating_chips,label_brushing_teeth,label_eating_pasta,label_eating_sandwich,label_writing,label_typing,label_folding
1970-01-03 01:14:27.000,1970-01-03 01:14:27.000,1621.0,walking,0.0,1.0,-4.573972775,-8.353220425,2.0709845075,0.7736920666666666,-0.3555135466666666,0.16510693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:27.250,1970-01-03 01:14:27.250,1621.0,walking,0.0,1.0,-2.86570978,-7.348732580000001,-0.98066518,-3.969433174,0.89411265,-0.6836957700000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:27.500,1970-01-03 01:14:27.500,1621.0,walking,0.0,1.0,-2.07370788,-7.208911359999999,-7.48283792,-0.2129022644,-0.04584631319999999,-0.408431596,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:27.750,1970-01-03 01:14:27.750,1621.0,walking,0.0,1.0,-2.8425658833333336,-4.964826116666666,-8.095992916666665,-1.3921971133333333,-0.61574255,-0.3728518616666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:28.000,1970-01-03 01:14:28.000,1621.0,walking,0.0,1.0,-3.2090383200000003,-5.27822702,-6.0376978600000015,0.8502117240000001,-0.022588932,-0.08416521199999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:28.250,1970-01-03 01:14:28.250,1621.0,walking,0.0,1.0,-2.3624486,-5.90502918,-6.9067929999999995,0.22297851,1.10766622,-0.8249501159999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:28.500,1970-01-03 01:14:28.500,1621.0,walking,0.0,1.0,2.12763724,-8.34950908,-8.553524999999999,0.8009870079999999,0.41141631799999995,-0.100783444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:28.750,1970-01-03 01:14:28.750,1621.0,walking,0.0,1.0,0.5661389320000001,-6.81961412,-3.9571365799999993,1.327434782,0.7297276930000001,-0.18366117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:29.000,1970-01-03 01:14:29.000,1621.0,walking,0.0,1.0,4.41984592,-8.77136732,-3.82066712,-0.255548958,0.025163137999999984,-1.1504952000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:29.250,1970-01-03 01:14:29.250,1621.0,walking,0.0,1.0,5.724685859999999,-6.6539353399999985,-4.27269238,-0.7824319018000001,-0.0006109286000000048,-0.20603173436,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:29.500,1970-01-03 01:14:29.500,1621.0,walking,0.0,1.0,5.6164679999999985,-6.47101828,-4.438371139999999,-0.326498734,0.35838318799999996,-0.3315198744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:29.750,1970-01-03 01:14:29.750,1621.0,walking,0.0,1.0,5.8319462400000015,-6.0778905,-5.854780819999998,0.995269868,-0.74393248,-0.260786314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:30.000,1970-01-03 01:14:30.000,1621.0,walking,0.0,1.0,7.466228339999999,-6.3446045600000005,-3.92266006,0.12665327200000004,-0.7859039059999999,0.157010392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:30.250,1970-01-03 01:14:30.250,1621.0,walking,0.0,1.0,4.20724084,-7.2486549999999985,-3.55203762,1.32826667,-0.12521837799999996,0.28931624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:30.500,1970-01-03 01:14:30.500,1621.0,walking,0.0,1.0,4.69996744,-8.369620280000001,-2.3060950520000003,0.5403958839999998,-0.1203160168,-0.035802468799999994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:30.750,1970-01-03 01:14:30.750,1621.0,walking,0.0,1.0,2.42739136,-8.2676275,1.86747736,1.7371088200000002,-0.675736118,0.0587928492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:31.000,1970-01-03 01:14:31.000,1621.0,walking,0.0,1.0,6.47167706,-9.411097979999996,3.1531636224,0.70315974,-0.944389952,0.30252524140000003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:31.250,1970-01-03 01:14:31.250,1621.0,walking,0.0,1.0,2.8171673675200006,-6.07310188,-0.45394061799999996,-0.040819994999999984,-1.0117162351200002,-0.8027931340000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-03 01:14:31.500,1970-01-03 01:14:31.500,1621.0,walking,0.0,1.0,7.730547939999999,-7.2740335200000015,-1.9876662300000003,-2.14727258,0.423618648,0.88032466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
